key,es
Epilogue.EventDialogue.01,"Vaya, vaya, pero miren quien ha llegado hasta aquí. La verdad es que sabía que lo lograrías."
Epilogue.EventDialogue.02,Ha llegado la hora de revelar mi verdadera identidad...
Epilogue.EventDialogue2.01,"Así es, ¡soy nada más y nada menos que yo! ¿Sorprendido?"
Epilogue.EventDialogue2.02,¿Como que no me reconoces? ¿Como que son muy pocos pixeles?
Epilogue.EventDialogue2.03,Espera un momento...
Epilogue.EventDialogue3.01,"¿Ahora si no hay duda? Por si acaso mi mal dibujado avatar no me representa, soy el mismísimo Freddy Vega."
Epilogue.EventDialogue4.01,"Te confieso que todo esto ha sido un plan para poner en práctica tus habilidades, jamás pasaste por ningún peligro y Platzi jamás fue hackeado, todo este tiempo fui yo [shake rate=20 level=10]JAJAJAJA[/shake]"
Epilogue.EventDialogue4.02,"Todo a sido parte del proceso de aprendizaje de Platzi, no te molestes conmigo."
Epilogue.EventDialogue4.03,"Espero hayas pasado un buen rato resolviendo los puzzles. Tu aprendizaje aquí puede transferirse al sistema de scripting visual de Unity llamado Bolt, este utiliza un sistema similar al que has estado utilizando en esta simulación."
Epilogue.EventDialogue4.04,Ahora vámonos de aquí y recuerda ¡Nunca pares de aprender!
