key,es
NODE.AND.TITLE,Y
NODE.AND.DESCRIPTION.01,"[b][color=purple]Y[/color][/b]
Nodo lógico que tiene dos entradas de tipo Booleano y una salida de tipo Booleano, si ambas entradas tienen valor Verdadero enviara como salida un valor Verdadero, y si alguna o todas las entradas tienen valor Falso enviara como salida un valor Falso ."
NODE.AND.DESCRIPTION.02,"[b][color=purple]And[/color][/b]
En Unity Bolt se encuentra como And y su función es exactamente igual."
NODE.BOOL.TITLE,Booleano
NODE.BOOL.DESCRIPTION.01,"[b][color=purple]Booleano[/color][/b]
Nodo literal cuya función es enviar un Booleano con el valor deseado."
NODE.BOOL.DESCRIPTION.02,"[b][color=purple]Bool Literal[/color][/b]
En Unity Bolt se conoce como Bool Literal y su función es exactamente igual."
NODE.CLOSE.TITLE,Cerrar
NODE.CLOSE.DESCRIPTION.01,"[b][color=purple]Cerrar[/color][/b]
Nodo especial de la entidad Puerta de Troncos cuya unica función es cambiar su estado a Cerrada lo cual activa sus colisiones."
NODE.COLLISION.TITLE,Colisión
NODE.COLLISION.DESCRIPTION.01,"[b][color=purple]Colisión[/color][/b]
Nodo de evento el cual se activa al colisionar con alguna entidad, envía como salida la Entidad con la que colisiono."
NODE.COLLISION.DESCRIPTION.02,"[b][color=purple]On Collision[/color][/b]
En Unity Bolt hay varios tipos de eventos de colisión, como lo son los siguientes:
On Collision Enter se activa cuando se entra en colisión.
On Collision Exit se activa cuando se sale de una colisión.
On Collision Stay se activa mientras se este colisionando."
NODE.COMPARE_STRING.TITLE,Comparar Texto
NODE.COMPARE_STRING.DESCRIPTION.01,"[b][color=purple]Comparar Texto[/color][/b]
Nodo de lógica el cual compara las dos entradas de Texto, si ambas coinciden envía un Booleano con valor Verdadero, en caso contrario enviara un valor Falso."
NODE.COMPARE_STRING.DESCRIPTION.02,"[b][color=purple]String Compare[/color][/b]
En Unity Bolt se conoce como String Compare y su función es exactamente igual."
NODE.DIRECTION.TITLE,Dirección
NODE.DIRECTION.DESCRIPTION.01,"[b][color=purple]Dirección[/color][/b]
Nodo de Variable Local el cual envía un Numero con el valor de la dirección actual de la entidad en grados."
NODE.DIRECTION.DESCRIPTION.02,"[b][color=purple]Get Rotation[/color][/b]
En Unity Bolt hay un nodo similar llamado Get Rotation, la diferencia es que este envía como salida un Quaternion."
NODE.ENTITY.TITLE,Entidad
NODE.ENTITIY.DESCRIPTION.01,"[b][color=purple]Entidad[/color][/b]
Nodo literal el cual contiene una lista de todas las entidades del nivel, se selecciona y lo envía como salida."
NODE.ENTITIY.DESCRIPTION.02,"[b][color=purple]Game Object Literal[/color][/b]
En Unity Bolt se conoce como Game Object Literal, su función es simular pero este mismo da una lista de los Game Object que existen en la escena, de igual manera envía como salida el Game Object seleccionado."
NODE.EQUAL.TITLE,Igual
NODE.EQUAL.DESCRIPTION.01,"[b][color=purple]Igual[/color][/b]
Nodo de lógica que compara dos entradas de tipo Numero, si ambas tienen el mismo valor enviara como salida un Booleano con valor Verdadero, en caso contrario enviara un Booleano con valor Falso."
NODE.EQUAL.DESCRIPTION.02,"[b][color=purple]Equal[/color][/b]
En Unity Bolt se conoce como Equal y su función es exactamente igual."
NODE.GREATER_EQUAL.TITLE,Mayor o Igual
NODE.GREATER_EQUAL.DESCRIPTION.01,"[b][color=purple]Mayor o Igual[/color][/b]
Nodo de lógica que compara dos entradas de tipo Numero, si la primer entrada es mayor o igual que la segunda entradra enviara como salida un Booleano con valor Verdadero, en caso contrario enviara un Booleano con valor Falso."
NODE.GREATER_EQUAL.DESCRIPTION.02,"[b][color=purple]Greater Or Equal[/color][/b]
En Unity Bolt se conoce como Greater Or Equal y su función es exactamente igual."
NODE.GREATER.TITLE,Mayor
NODE.GREATER.DESCRIPTION.01,"[b][color=purple]Mayor[/color][/b]
Nodo de lógica que compara dos entradas de tipo Numero, si la primer entrada es mayor que la segunda entradra enviara como salida un Booleano con valor Verdadero, en caso contrario enviara un Booleano con valor Falso."
NODE.GREATER.DESCRIPTION.02,"[b][color=purple]Greater[/color][/b]
En Unity Bolt se conoce como Greater y su función es exactamente igual."
NODE.IF.TITLE,Si
NODE.IF.DESCRIPTION.01,"[b][color=purple]Si[/color][/b]
Nodo de lógica el cual recibe como entrada un Booleano, si este es Verdadero se ejecutara la secuencía de la salida marcada como Verdadero, en caso contrario si la entrada es Falso se ejecutara la secuencía de la salida marcada como Falso."
NODE.IF.DESCRIPTION.02,"[b][color=purple]If[/color][/b]
En Unity Bolt se conoce como If y su función es exactamente igual."
NODE.LESS_EQUAL.TITLE,Menor o Igual
NODE.LESS_EQUAL.DESCRIPTION.01,"[b][color=purple]Menor o Igual que[/color][/b]
Nodo de lógica que compara dos entradas de tipo Numero, si la primer entrada es menor o igual que la segunda entradra enviara como salida un Booleano con valor Verdadero, en caso contrario enviara un Booleano con valor Falso."
NODE.LESS_EQUAL.DESCRIPTION.02,"[b][color=purple]Less Or Equal[/color][/b]
En Unity Bolt se conoce como Less Or Equal y su función es exactamente igual."
NODE.LESS.TITLE,Menor
NODE.LESS.DESCRIPTION.01,"[b][color=purple]Menor[/color][/b]
Nodo de lógica que compara dos entradas de tipo Numero, si la primer entrada es menor que la segunda entradra enviara como salida un Booleano con valor Verdadero, en caso contrario enviara un Booleano con valor Falso."
